as_of,calculation_version,daily_avg_price,data_quality,dealer_consecutive_buy_days,dealer_consecutive_sell_days,dealer_flow_acceleration,dealer_net_10d,dealer_net_1d,dealer_net_20d,dealer_net_5d,duplicate_stock_id,foreign_buy_rank_10d,foreign_buy_rank_1d,foreign_buy_rank_20d,foreign_buy_rank_5d,foreign_consecutive_buy_days,foreign_consecutive_sell_days,foreign_flow_acceleration,foreign_net_10d,foreign_net_1d,foreign_net_20d,foreign_net_3d,foreign_net_5d,foreign_net_pct_volume,foreign_sell_rank_10d,foreign_sell_rank_1d,foreign_sell_rank_20d,foreign_sell_rank_5d,inst_10d_avg_buy_cost,inst_10d_buy_amount,inst_10d_buy_shares,inst_10d_sell_shares,inst_20d_avg_buy_cost,inst_20d_buy_amount,inst_20d_buy_shares,inst_20d_sell_shares,inst_5d_avg_buy_cost,inst_5d_buy_amount,inst_5d_buy_shares,inst_5d_sell_shares,inst_acceleration,inst_cost_position,inst_flow_amount_10d,inst_flow_amount_1d,inst_flow_amount_20d,inst_flow_amount_3d,inst_flow_amount_5d,inst_flow_trend,inst_net_10d_shares,inst_net_1d_shares,inst_net_20d_shares,inst_net_3d_shares,inst_net_5d_shares,institutional_age_days,institutional_buy_rank_10d,institutional_buy_rank_1d,institutional_buy_rank_20d,institutional_buy_rank_5d,institutional_consecutive_buy_days,institutional_consecutive_sell_days,institutional_flow_acceleration,institutional_flow_grade,institutional_generated_at,institutional_net_10d,institutional_net_1d,institutional_net_20d,institutional_net_3d,institutional_net_5d,institutional_net_pct_volume,institutional_sell_rank_10d,institutional_sell_rank_1d,institutional_sell_rank_20d,institutional_sell_rank_5d,institutional_stale,market,market_data_quality,mixed_snapshot,name,price_response_to_flow,price_vs_inst_10d_cost_pct,price_vs_inst_20d_cost_pct,price_vs_inst_5d_cost_pct,reference_close,row_count,security_type,source,stock_id,stock_name,symbol,trust_buy_rank_10d,trust_buy_rank_1d,trust_buy_rank_20d,trust_buy_rank_5d,trust_consecutive_buy_days,trust_consecutive_sell_days,trust_flow_acceleration,trust_net_10d,trust_net_1d,trust_net_20d,trust_net_3d,trust_net_5d,trust_net_pct_volume,trust_sell_rank_10d,trust_sell_rank_1d,trust_sell_rank_20d,trust_sell_rank_5d
2026-09-07,institutional_features_v2,109.64183241174834,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,7,5,6,3,2,0,36733969.0,94499871.0,43969936.0,111027244.0,49738229.0,65616920.0,,1052,1084,1033,1064,107.63930355173531,28757692416.260212,267167210.0,97751451.0,107.10957915614173,42238135132.65673,394345076.0,202826112.0,108.59647663070666,17069467642.742628,157182518.0,48740227.0,ACCELERATING,ABOVE_20D_COST,18438829935.403694,6271664996.8153925,20996873568.2017,7595737042.058847,11854977404.067987,PERSISTENT_BUY,169415759.0,57201388.0,191518964.0,69466271.0,108442291.0,0,3,3,6,2,2,0,47468823.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,169415759.0,57201388.0,191518964.0,69466271.0,108442291.0,,1056,1086,1033,1065,False,TSE,GOOD,False,元大台灣50,UNKNOWN,2.100251835221245,2.605201949109026,1.2003367049615354,109.9,1345,ordinary_stock,TWSE_T86,0050,元大台灣50,0050,32,15,36,1045,1,0,-6637000.0,4437000.0,2700000.0,5602000.0,1700000.0,-1100000.0,,1027,1074,1003,22
2026-09-07,institutional_features_v2,147.0295747518151,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,512,478,525,476,0,1,5851.0,4247.0,-981.0,5467.0,5019.0,5049.0,,547,611,514,591,145.9848664345001,12727252.625492588,87182.0,52911.0,145.28089154430168,18165196.27424176,125035.0,88949.0,146.8826028360331,6089165.183170588,41456.0,48666.0,REVERSING,NEAR_20D_COST,4965940.191618515,-6384465.224448066,5249623.205560301,-6103769.151566246,-1059751.6559341936,SHORT_TERM_SELL,34271.0,-43423.0,36086.0,-41469.0,-7210.0,0,439,667,498,546,0,1,-48691.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,34271.0,-43423.0,36086.0,-41469.0,-7210.0,,620,422,541,521,False,TSE,GOOD,False,元大中型100,UNKNOWN,1.00362017055875,1.493044565352819,0.386292966635593,147.45,1345,ordinary_stock,TWSE_T86,0051,元大中型100,0051,204,149,215,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,199,145,231,196
2026-09-07,institutional_features_v2,63.594845793643046,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,23,24,26,20,2,0,11039560.0,25910278.0,4764078.0,45189662.0,8012021.0,18474919.0,,1036,1065,1013,1047,62.78691054253838,3427271543.9510226,54585765.0,5232944.0,62.35130981435101,6377593935.205253,102284843.0,8150252.0,63.11325731367675,2337042137.349108,37029338.0,3143845.0,ACCELERATING,ABOVE_20D_COST,3103062326.616256,917881707.1377059,5876305924.03817,1319985445.38942,2141046671.7620704,PERSISTENT_BUY,49352821.0,14433272.0,94134591.0,20884081.0,33885493.0,0,18,10,13,16,3,0,18418165.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,49352821.0,14433272.0,94134591.0,20884081.0,33885493.0,,1041,1079,1026,1051,False,TSE,GOOD,False,富邦科技,UNKNOWN,1.5339016510600878,2.2432410639223743,1.0088889615673002,63.75,1345,ordinary_stock,TWSE_T86,0052,富邦科技,0052,969,150,1007,182,0,0,80000.0,-80000.0,0.0,-2150000.0,0.0,0.0,,90,146,32,197
2026-09-07,institutional_features_v2,247.66786928647443,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,541,457,523,515,3,0,-1008.0,-2968.0,1002.0,6249.0,1010.0,-1988.0,,518,632,516,552,245.97474055344813,4947289.956751502,20113.0,203259.0,242.26683897534306,34913558.69841464,144112.0,426853.0,247.1775312862435,4228466.027713767,17107.0,117704.0,ACCELERATING,ABOVE_20D_COST,-43855218.64753993,3119624.4815324317,-66676480.13558975,-11007098.02579092,-24338422.030726023,MIXED,-183146.0,12596.0,-282741.0,-45815.0,-100597.0,0,697,351,708,673,1,0,-18048.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,-183146.0,12596.0,-282741.0,-45815.0,-100597.0,,362,738,331,394,False,TSE,GOOD,False,元大電子,UNKNOWN,0.9453244838555364,2.4902958449344315,0.4541143800229408,248.3,1345,ordinary_stock,TWSE_T86,0053,元大電子,0053,205,151,216,183,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,200,147,232,198
2026-09-07,institutional_features_v2,48.66019672788064,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,784,736,805,745,0,1,-14010.0,-413950.0,-94827.0,-852998.0,-179802.0,-213980.0,,275,353,234,322,44.68121841774786,15750397.579566626,352506.0,2354998.0,44.26666009959377,35734040.03209657,807245.0,2959428.0,,,0,1979642.0,ACCELERATING,ABOVE_20D_COST,-96868059.8732684,-22556872.13497962,-103208007.30271348,-89946762.5980702,-95643293.58803342,PERSISTENT_SELL,-2002492.0,-463559.0,-2152183.0,-1857364.0,-1979642.0,0,946,926,894,984,0,6,-1956792.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,-2002492.0,-463559.0,-2152183.0,-1857364.0,-1979642.0,,113,163,145,83,False,TSE,GOOD,False,元大MSCI金融,UNKNOWN,8.837676594521081,9.856944008401204,,48.63,1345,ordinary_stock,TWSE_T86,0055,元大MSCI金融,0055,206,152,217,184,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,201,148,233,199
2026-09-07,institutional_features_v2,55.84537023465541,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,19,127,29,46,2,0,-18243010.0,27611216.0,130946.0,38067323.0,7105968.0,4684103.0,,1040,962,1010,1021,54.20409926743822,7068363063.705936,130402740.0,7868111.0,53.83343544337304,11306024467.677519,210018632.0,31453009.0,55.10960322431353,2085581271.164108,37844244.0,3863427.0,DECELERATING,ABOVE_20D_COST,6646956442.448662,256481087.72207215,9650442731.25274,734917132.5252042,1872377612.4693327,PERSISTENT_BUY,122534629.0,4592701.0,178565623.0,13276712.0,33980817.0,0,6,26,7,14,2,0,-54572995.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,122534629.0,4592701.0,178565623.0,13276712.0,33980817.0,,1053,1063,1032,1053,False,TSE,GOOD,False,元大高股息,UNKNOWN,3.0364875623909215,3.7459332476526885,1.3434986506304814,55.85,1345,ordinary_stock,TWSE_T86,0056,元大高股息,0056,41,12,58,34,1,0,2670000.0,3050000.0,2860000.0,3450000.0,2860000.0,2860000.0,,1018,1077,981,1033
2026-09-07,institutional_features_v2,326.1783493499152,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,530,475,532,507,0,1,892.0,1068.0,-23.0,2079.0,980.0,980.0,,529,614,507,560,320.0712016830521,8145171.94043031,25448.0,28160.0,314.1745845752974,18002832.04533369,57302.0,76203.0,320.0905488646135,7825253.648093206,24447.0,5342.0,REVERSING,ABOVE_20D_COST,-719438.1778853621,359448.54098360654,-5916497.474505045,-1351275.686415399,6114529.4206942,MIXED,-2712.0,1102.0,-18901.0,-4240.0,19105.0,0,547,478,570,427,1,0,40922.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,-2712.0,1102.0,-18901.0,-4240.0,19105.0,,512,611,469,640,False,TSE,GOOD,False,富邦摩台,UNKNOWN,2.133524753567184,4.05042802615776,2.1273515133577448,326.9,1345,ordinary_stock,TWSE_T86,0057,富邦摩台,0057,207,153,218,185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,202,149,234,200
2026-09-07,institutional_features_v2,24.224770462981052,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,457,613,347,268,0,1,173000.0,21000.0,-29000.0,280000.0,135000.0,97000.0,,600,472,692,799,24.27175077406296,5886239.367221104,242514.0,148248.0,24.85642475051074,27629482.06495197,1111563.0,423076.0,24.30286873522035,4719933.04567335,194213.0,129493.0,ACCELERATING,BELOW_20D_COST,2295640.2609158256,-736893.2927134206,17302879.286262687,2687579.9869872294,1586003.0899881916,MIXED,94266.0,-30419.0,688487.0,110688.0,64720.0,0,369,638,269,321,0,1,35174.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,94266.0,-30419.0,688487.0,110688.0,64720.0,,690,451,770,746,False,TSE,GOOD,False,元大寶滬深,UNKNOWN,-0.0072132170409022756,-2.3592481879305294,-0.13524631836041578,24.27,1345,ordinary_stock,TWSE_T86,0061,元大寶滬深,0061,208,154,219,186,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,203,150,235,201
2026-09-07,institutional_features_v2,198.94339553469956,GOOD,0,0,0.0,0.0,0.0,0.0,0.0,False,,,,,1,0,-27.0,7.0,3.0,-1983.0,-11.0,-10.0,,,,,,197.06735216975656,4241283.553397501,21522.0,22534.0,194.98364797959235,6165577.93276269,31621.0,64178.0,198.62399148621725,3341650.032764119,16824.0,12735.0,REVERSING,ABOVE_20D_COST,-140927.38950478664,2984747.7632070975,-6168104.858653398,1179617.9298810193,861245.5835401346,SHORT_TERM_BUY,-1012.0,15003.0,-32557.0,5729.0,4089.0,0,,,,,1,0,9190.0,UNKNOWN,2026-09-07T08:30:42.135684+00:00,-1012.0,15003.0,-32557.0,5729.0,4089.0,,,,,,False,TSE,GOOD,False,元大MSCI台灣,UNKNOWN,1.0314482880413811,2.1111267857899962,0.2396530802855068,199.1,1345,warrant,TWSE_T86,006203,元大MSCI台灣,006203,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2026-09-07,institutional_features_v2,235.52777658246913,GOOD,0,0,,,0.0,,,False,,,,,0,1,,,-1000.0,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,-235527.77658246912,,,,UNKNOWN,,-1000.0,,,,0,,,,,0,1,,UNKNOWN,2026-09-07T08:30:42.135684+00:00,,-1000.0,,,,,,,,,False,TSE,GOOD,False,永豐臺灣加權,UNKNOWN,,,,236.35,1345,warrant,TWSE_T86,006204,永豐臺灣加權,006204,,,,,0,0,,,0.0,,,,,,,,
